# Brightest 1000 stars, derived from the HYG star database
# https://codeberg.org/astronexus/hyg -- CC BY-SA 4.0
# name,ra_hours,dec_deg,mag,ci
Cebalrai,17.724543,4.567303,2.760,1.168
Cursa,5.130829,-5.086446,2.780,0.161
Kornephoros,16.503668,21.489613,2.780,0.947
Rasalgethi,17.244127,14.390333,2.780,1.164
Imai,12.252427,-58.748928,2.790,-0.193
Rastaban,17.507213,52.301387,2.790,0.954
Gam Lup,15.585681,-41.166757,2.800,-0.216
Nihal,5.470756,-20.759441,2.810,0.807
Zet Her,16.688113,31.602726,2.810,0.650
Bet Hyi,0.427916,-77.254247,2.820,0.618
Paikauhale,16.598043,-28.216016,2.820,-0.206
Kaus Borealis,18.466179,-25.421700,2.820,1.025
Algenib,0.220598,15.183596,2.830,-0.190
Tureis,8.125737,-24.304324,2.830,0.458
Bet TrA,15.919083,-63.430727,2.830,0.315
Zet Per,3.902200,31.883635,2.840,0.271
Bet Ara,17.421665,-55.529884,2.840,1.479
Alp Ara,17.530695,-49.876145,2.840,-0.136
Alcyone,3.791410,24.105137,2.850,-0.086
Vindemiatrix,13.036278,10.959150,2.850,0.934
Deneb Algedi,21.784011,-16.127286,2.850,0.180
Castor B,7.576827,31.890520,2.850,0.650
Alp Hyi,1.979451,-61.569859,2.860,0.290
Fawaris,19.749574,45.130810,2.860,-0.002
Tejat,6.382673,22.513586,2.870,1.621
Gam TrA,15.315181,-68.679545,2.870,0.014
Alp Tuc,22.308371,-60.259587,2.870,1.390
Acamar,2.971023,-40.304672,2.880,0.128
Albaldah,19.162731,-21.023615,2.880,0.377
Gomeisa,7.452512,8.289315,2.890,-0.097
Cor Caroli,12.933807,38.318380,2.890,-0.115
Fang,15.980865,-26.114105,2.890,-0.180
Eps Per,3.964230,40.010215,2.900,-0.199
Alniyat,16.353143,-25.592796,2.900,0.299
Sadalsuud,21.525982,-5.571172,2.900,0.828
Gam Per,3.079942,53.506440,2.910,0.716
Ups Car,9.785036,-65.072007,2.920,0.273
Matar,22.716704,30.221245,2.930,0.852
Tau Pup,6.832266,-50.614560,2.940,1.207
Algorab,12.497739,-16.515432,2.940,-0.012
Sadalmelik,22.096399,-0.319851,2.950,0.969
Zaurak,3.967157,-13.508515,2.970,1.588
Tianguan,5.627413,21.142549,2.970,-0.148
Ras Elased Australis,9.764188,23.774255,2.970,0.808
Alnasl,18.096803,-30.424091,2.980,0.981
Gam Hya,13.315359,-23.171512,2.990,0.920
Iot-1 Sco,17.793078,-40.126997,2.990,0.509
Okab,19.090169,13.863478,2.990,0.014
Bet Tri,2.159058,34.987297,3.000,0.140
Psi UMa,11.161062,44.498487,3.000,1.144
Pherkad,15.345483,71.834016,3.000,0.058
Xamidimura,16.864509,-38.047380,3.000,-0.200
Aldhanab,21.898808,-37.364852,3.000,-0.084
Del Per,3.715416,47.787551,3.010,-0.125
Furud,6.338553,-30.063367,3.020,-0.160
Omi-2 CMa,7.050409,-23.833291,3.020,-0.077
Eps Crv,12.168746,-22.619766,3.020,1.326
Almaaz,5.032815,43.823308,3.030,0.537
Bet Mus,12.771346,-68.108119,3.040,-0.178
Seginus,14.534636,38.308253,3.040,0.191
Albireo,19.512023,27.959681,3.050,1.088
Dabih,20.350187,-14.781367,3.050,0.790
Mebsuta,6.732202,25.131124,3.060,1.377
Tania Australis,10.372155,41.499516,3.060,1.603
Altais,19.209225,67.661541,3.070,0.990
Eta Sgr,18.293793,-36.761686,3.100,1.582
Zet Hya,8.923230,5.945563,3.110,0.978
Nu Hya,10.827079,-16.193648,3.110,1.232
Lam Cen,11.596363,-63.019841,3.110,-0.044
Alp Ind,20.626116,-47.291502,3.110,0.998
