# Brightest 1000 stars, derived from the HYG star database
# https://codeberg.org/astronexus/hyg -- CC BY-SA 4.0
# name,ra_hours,dec_deg,mag,ci
Iot Cnc,8.778284,28.759898,4.030,1.007
Mu-1 Cru,12.909900,-57.177924,4.030,-0.180
70 Oph,18.090913,2.500099,4.030,0.860
Aldulfin,20.553547,11.303263,4.030,-0.123
Ome Psc,23.988525,6.863321,4.030,0.419
Beid,4.197761,-6.837581,4.040,0.327
Nu Vir,11.764322,6.529376,4.040,1.501
The Boo,14.419967,51.850744,4.040,0.497
Eta Aqr,22.589272,-0.117498,4.040,-0.083
Iot Per,3.151005,49.613278,4.050,0.595
Alp Cha,8.308703,-76.919722,4.050,0.413
HD74772,8.739987,-42.649276,4.050,0.874
Sig Leo,11.352276,6.029322,4.050,-0.058
Ups Boo,13.824623,15.797905,4.050,1.520
Psi Cen,14.342623,-37.885295,4.050,-0.030
Rho Lup,14.631454,-49.425828,4.050,-0.152
Tau-2 Aqr,22.826528,-13.592632,4.050,1.570
Omi-2 Ori,4.939521,13.514466,4.060,1.158
Ups Gem,7.598708,26.895741,4.060,1.540
Gam Crt,11.414702,-17.684010,4.060,0.216
Eps Mus,12.292917,-67.960736,4.060,1.603
Zet Cru,12.307298,-64.003071,4.060,-0.168
HD129456,14.727624,-35.173655,4.060,1.356
Eps-1 Ara,16.993069,-53.160438,4.060,1.452
Syrma,14.266908,-6.000547,4.070,0.511
Lam Lup,15.147394,-45.279857,4.070,-0.162
Bet Cir,15.291917,-58.801208,4.070,0.088
Del Cep,22.486183,58.415198,4.070,0.778
Zet And,0.788981,24.267178,4.080,1.100
Del Hyi,2.362498,-68.659418,4.080,0.034
Del Cet,2.658044,0.328511,4.080,-0.212
Tau-3 Eri,3.039863,-23.624472,4.080,0.163
The CMa,6.903167,-12.038628,4.080,1.418
HD83183,9.574071,-59.229753,4.080,-0.013
Alkes,10.996244,-18.298783,4.080,1.079
13 Lyr,18.922249,43.946088,4.080,1.397
The Cap,21.099118,-17.232861,4.080,-0.010
1 Peg,21.368110,19.804508,4.080,1.108
Phi-2 Ori,5.615108,9.290673,4.090,0.951
Gudja,15.812327,18.141564,4.090,1.616
Titawin,1.613299,41.405459,4.100,0.536
The Per,2.736634,49.228448,4.100,0.514
HD63922,7.820638,-46.373205,4.100,-0.160
Zet Tel,18.480505,-49.070588,4.100,0.995
Bet CrA,19.167154,-39.340796,4.100,1.163
Iot Eri,2.677781,-39.855375,4.110,1.006
Muliphein,7.062637,-15.633286,4.110,-0.112
HD73634,8.627399,-42.989081,4.110,0.109
Zhang,9.857970,-14.846603,4.110,0.918
Gam Cha,10.591166,-78.607786,4.110,1.580
HD102350,11.775232,-61.178398,4.110,0.895
Eps TrA,15.612000,-66.317037,4.110,1.161
Meridiana,19.157869,-37.904474,4.110,0.042
Zet Gru,23.014677,-52.754137,4.110,0.960
Eps Hyi,2.659799,-68.266946,4.120,-0.061
Mu Per,4.248295,48.409331,4.120,0.935
Mu Ori,6.039722,9.647276,4.120,0.170
Omi Vir,12.086817,8.732985,4.120,0.967
Iot Sgr,19.921026,-41.868288,4.120,1.063
Ome Cap,20.863692,-26.919133,4.120,1.633
Del-2 Gru,22.495955,-43.749224,4.120,1.570
29 Ori,5.399119,-7.808065,4.130,0.943
Nu Gem,6.482719,20.212133,4.130,-0.115
The Lib,15.897093,-16.729293,4.130,1.003
Psi Cap,20.768260,-25.270898,4.130,0.426
Bet Oct,22.767692,-81.381615,4.130,0.208
Iot Psc,23.665844,5.626292,4.130,0.507
5 Tau,3.514549,12.936678,4.140,1.112
Merope,3.772104,23.948358,4.140,-0.051
Del Hya,8.627602,5.703782,4.140,0.003
Eta Cru,12.114687,-64.613730,4.140,0.353
The CrB,15.548829,31.359133,4.140,-0.127
Eps CrB,15.959794,26.877880,4.140,1.231
Kap Peg,21.744092,25.645036,4.140,0.425
1 Lac,22.266160,37.748737,4.140,1.447
Del Mon,7.197739,-0.492764,4.150,-0.005
Rho Her,17.394708,37.145946,4.150,-0.011
Kap And,23.673469,44.333932,4.150,-0.071
1 Gem,6.068671,23.263341,4.160,0.835
Rho Gem,7.485195,31.784550,4.160,0.320
44 Oph,17.439504,-24.175309,4.160,0.283
Kap Cas,0.549997,62.931783,4.170,0.130
HD24160,3.824237,-36.200250,4.170,0.927
Ancha,22.280565,-7.783290,4.170,0.979
Kang,14.214929,-10.273702,4.180,1.323
Xuange,14.273074,46.088305,4.180,0.087
HD149447,16.606242,-35.255326,4.180,1.535
Eps Cep,22.250544,57.043587,4.180,0.278
Eps PsA,22.677594,-27.043617,4.180,-0.105
2 Cen,13.824091,-34.450776,4.190,1.520
110 Her,18.761035,20.546308,4.190,0.483
32 Ori,5.513070,5.948139,4.200,-0.143
11 Pup,7.947650,-22.880119,4.200,0.718
Bet LMi,10.464727,36.707212,4.200,0.908
Sig Her,16.568384,42.437041,4.200,-0.013
Xi Peg,22.778216,12.172888,4.200,0.502
Del PsA,22.932472,-32.539628,4.200,0.952
HD21291,3.484482,59.940330,4.210,0.419
Kap-1 Tau,4.422822,22.293874,4.210,0.136
Eps UMi,16.766159,82.037262,4.210,0.897
The Cep,20.493015,62.994105,4.210,0.199
Gam Pav,21.440705,-65.366198,4.210,0.494
16 Per,2.843063,38.318644,4.220,0.343
Tau-6 Eri,3.780804,-23.249723,4.220,0.434
HD64760,7.888378,-48.102934,4.220,-0.130
The Lup,16.109874,-36.802288,4.220,-0.184
Chi Oph,16.450399,-18.456251,4.220,0.217
Phi Dra,18.345955,71.337814,4.220,-0.093
Bet Sct,18.786242,-4.747867,4.220,1.087
Lam Pav,18.870288,-62.187593,4.220,-0.150
Del-2 Lyr,18.908412,36.898613,4.220,1.575
52 Cyg,20.761043,30.719715,4.220,1.051
Sig Cyg,21.290265,39.394681,4.220,0.098
Phi Aqr,23.238711,-6.049003,4.220,1.545
Zet Tuc,0.334142,-64.874791,4.230,0.576
Sig Gem,7.721867,28.883510,4.230,1.118
Bet Com,13.197904,27.878183,4.230,0.572
1 Cen,13.761471,-33.043721,4.230,0.390
Tau Vir,14.027443,1.544532,4.230,0.121
Phi Her,16.146162,44.934906,4.230,-0.045
Bet Aps,16.718126,-77.517435,4.230,1.060
Gam CrA,19.106971,-37.063437,4.230,0.523
Mu Cep,21.725127,58.780046,4.230,2.242
Pi-2 Cyg,21.779891,49.309570,4.230,-0.120
HD5848,1.145613,86.257090,4.240,1.213
Kap Eri,2.449755,-47.703840,4.240,-0.136
Pi Cet,2.735375,-13.858696,4.240,-0.122
Bet Cha,12.305812,-79.312240,4.240,-0.123
Chara,12.562411,41.357480,4.240,0.588
HD148703,16.523037,-34.704366,4.240,-0.168
Omi Ser,17.690243,-12.875307,4.240,0.086
Psi-1 Aqr,23.264859,-9.087737,4.240,1.107
Kap Tuc,1.262704,-68.875927,4.250,0.480
Lam Per,4.109735,50.351262,4.250,-0.011
88 Tau,4.594239,10.160790,4.250,0.184
58 Per,4.611508,41.264808,4.250,1.171
Lam Eri,5.152440,-8.754081,4.250,-0.187
Alsciaukat,8.380588,43.188131,4.250,1.550
HD111968,12.890607,-40.178872,4.250,0.224
5 UMi,14.458758,75.695993,4.250,1.431
Nu Cep,21.757480,61.120806,4.250,0.474
Phi And,1.158368,47.241792,4.260,0.012
Torcular,1.756564,9.157736,4.260,0.942
82 G. Eri,3.331944,-43.069784,4.260,0.711
Tau-5 Eri,3.563132,-21.632883,4.260,-0.106
Gam Dor,4.267097,-51.486648,4.260,0.312
Alp Cam,4.900836,66.342678,4.260,-0.008
Acubens,8.974784,11.857701,4.260,0.141
HD159433,17.609121,-38.635308,4.260,1.075
95 Her,18.025113,21.595782,4.260,0.406
Kurhah,22.063135,64.627971,4.260,0.379
Eps Psc,1.049058,7.890135,4.270,0.952
Mu Cet,2.749039,10.114146,4.270,0.311
Mu Tau,4.258905,8.892357,4.270,-0.054
90 Tau,4.635961,12.510838,4.270,0.122
Tau Tau,4.704084,22.956926,4.270,-0.112
Xi-2 Cen,13.115180,-49.906246,4.270,-0.182
Mu Lup,15.308897,-47.875272,4.270,-0.086
Arkab Posterior,19.386976,-44.799778,4.270,0.350
Gam-2 Del,20.777640,16.124296,4.270,1.042
The Psc,23.466138,6.378992,4.270,1.062
Ups Tau,4.438461,22.813583,4.280,0.263
HD81817,9.618151,81.326382,4.280,1.488
Alp Ant,10.452530,-31.067779,4.280,1.429
45 Oph,17.455909,-29.867033,4.280,0.402
33 Cyg,20.223288,56.567722,4.280,0.114
Iot Cap,21.370776,-16.834542,4.280,0.888
Pi-2 Peg,22.166457,33.178224,4.280,0.471
The Gru,23.114650,-43.520358,4.280,0.423
10 Tau,3.614551,0.401662,4.290,0.575
Lam Lep,5.326257,-13.176788,4.290,-0.235
HD92449,10.655112,-55.603268,4.290,1.025
Bet Hya,11.881813,-33.908124,4.290,-0.100
Zet UMi,15.734299,77.794493,4.290,0.038
Phi Oph,16.518991,-16.612733,4.290,0.924
Iot Aqr,22.107286,-13.869679,4.290,-0.075
Bet PsA,22.525090,-32.346073,4.290,0.011
Iot And,23.635610,43.268073,4.290,-0.083
Alp Scl,0.976766,-29.357449,4.300,-0.154
Xi-2 Cet,2.469317,8.460054,4.300,-0.053
Taygeta,3.753470,24.467278,4.300,-0.110
HD24071,3.809963,-37.620155,4.300,-0.038
Del-3 Tau,4.424828,17.927910,4.300,0.049
Pi Aur,5.998917,45.936736,4.300,1.701
Eta Hya,8.720410,3.398662,4.300,-0.192
54 Leo,10.926890,24.749718,4.300,0.016
Ups Leo,11.615814,-0.823749,4.300,0.983
HD102776,11.828077,-63.788478,4.300,-0.149
Eta Crv,12.534510,-16.196007,4.300,0.388
HD125288,14.338763,-56.386497,4.300,0.082
Alp-1 Cap,20.294130,-12.508212,4.300,0.928
HD74375,8.676953,-59.761003,4.310,-0.117
Del Oct,14.448801,-83.667884,4.310,1.300
Alkalurops,15.408181,37.377167,4.310,0.309
Ome-2 Sco,16.123424,-20.868764,4.310,0.831
71 Aql,20.638967,-1.105121,4.310,0.949
Psi Per,3.608159,48.192634,4.320,-0.058
54 Eri,4.674031,-19.671493,4.320,1.599
119 Tau,5.536875,18.594234,4.320,2.060
Kap Aur,6.256304,29.498076,4.320,1.021
12 Hya,8.772927,-13.547720,4.320,0.900
Alterf,9.528675,22.967971,4.320,1.541
The-1 Cru,12.050447,-63.312930,4.320,0.280
Diadem,13.166469,17.529431,4.320,0.455
3 Cen,13.863779,-32.994089,4.320,-0.146
Omi Lup,14.860641,-43.575359,4.320,-0.154
Nu Ser,17.347128,-12.846875,4.320,0.037
Gam CMi,7.469387,8.925530,4.330,1.425
HD111915,12.885258,-48.943315,4.330,1.344
Tau-2 Lup,14.436336,-45.379276,4.330,0.434
Guniibuu,17.255836,-26.602829,4.330,0.855
Pi Pav,18.143000,-63.668553,4.330,0.228
Kap Lyr,18.331031,36.064547,4.330,1.162
Alula Australis,11.303118,31.528783,4.330,0.590
Pi And,0.614680,33.719344,4.340,-0.123
Eps And,0.642602,29.311751,4.340,0.871
The Cas,1.185017,55.149901,4.340,0.170
Del Dor,5.746223,-65.735526,4.340,0.217
Xi-1 CMa,6.530935,-23.418422,4.340,-0.245
The Cha,8.344115,-77.484477,4.340,1.161
HD80230,9.270024,-57.541473,4.340,1.602
HD83446,9.613772,-49.355026,4.340,0.173
Ups-2 Cen,14.028748,-45.603421,4.340,0.598
Ome Lup,15.634232,-42.567348,4.340,1.412
Sig Oph,17.441911,4.140360,4.340,1.480
Zet-1 Lyr,18.746209,37.605115,4.340,0.192
111 Her,18.783686,18.181519,4.340,0.148
9 Peg,21.741860,17.350017,4.340,1.161
5 Lac,22.492173,47.706887,4.340,1.679
Botein,3.193822,19.726677,4.350,1.033
Pi-2 Ori,4.843534,8.900176,4.350,0.010
HD47306,6.582940,-52.975607,4.350,-0.021
15 Lyn,6.954612,58.422759,4.350,0.850
Eps Vol,8.132173,-68.617062,4.350,-0.113
Rho Hya,8.807214,5.837812,4.350,-0.044
Gam Com,12.448966,28.268423,4.350,1.128
2 Lup,15.297178,-30.148673,4.350,1.100
Yildun,17.536918,86.586460,4.350,0.021
Xi Pav,18.387117,-61.493901,4.350,1.462
The Lyr,19.272804,38.133731,4.350,1.258
Iot PsA,21.749113,-33.025781,4.350,-0.053
Bet-1 Tuc,0.525725,-62.958218,4.360,-0.064
Eta Phe,0.722567,-57.463060,4.360,0.024
Xi-1 Cet,2.216665,8.846717,4.360,0.878
Sig Per,3.509579,47.995216,4.360,1.367
37 Tau,4.078253,22.081926,4.360,1.064
Ome Eri,4.881575,-5.452695,4.360,0.257
Kap Lep,5.220522,-12.941291,4.360,-0.094
Gam Col,5.958947,-35.283280,4.360,-0.165
Iot CMa,6.935618,-17.054242,4.360,-0.063
Zet Mon,8.143236,-2.983786,4.360,0.970
Chi Cen,14.100770,-41.179633,4.360,-0.198
Iot Aql,19.612022,-1.286601,4.360,-0.079
30 Psc,0.032672,-6.014072,4.370,1.631
Kap Col,6.275871,-35.140519,4.370,0.978
Tau CMa,7.311802,-24.954375,4.370,-0.132
HD95370,11.002572,-42.225859,4.370,0.116
102 Her,18.145970,20.814557,4.370,-0.164
The-1 Sgr,19.995605,-35.276305,4.370,-0.150
The Vir,13.165831,-5.539010,4.380,-0.008
Kap Cep,20.148145,77.711419,4.380,-0.046
99 Aqr,23.434108,-20.642014,4.380,1.460
Bet Scl,23.549512,-37.818268,4.380,-0.095
Psi Phe,1.894102,-46.302669,4.390,1.597
HD23475,3.825357,65.525972,4.390,1.870
Phi-1 Ori,5.580344,9.489579,4.390,-0.157
Chi-1 Ori,5.906386,20.276174,4.390,0.594
Eps Mon,6.396135,4.592865,4.390,0.215
HD66141,8.037760,2.334571,4.390,1.252
31 Leo,10.131742,9.997508,4.390,1.448
110 Vir,15.048344,2.091303,4.390,1.026
Iot Oph,16.900131,10.165359,4.390,-0.088
Xi Oph,17.350101,-21.112933,4.390,0.394
Sham,19.668275,18.013890,4.390,0.777
Bet Sge,19.684150,17.476041,4.390,1.041
The Ind,21.331096,-53.449427,4.390,0.191
Eta And,0.953445,23.417648,4.400,0.940
Omi Pup,7.801436,-25.937169,4.400,-0.070
16 Pup,8.150455,-19.245014,4.400,-0.160
Kap Pav,18.949177,-67.233495,4.400,0.530
Del Ind,21.965293,-54.992575,4.400,0.297
HD50337,6.830921,-53.622449,4.410,0.899
Tau Gem,7.185659,30.245163,4.410,1.261
HD125823,14.383956,-39.511819,4.410,-0.185
Maasym,17.512308,26.110645,4.410,1.434
Nu Her,17.975041,30.189277,4.410,0.380
Ups Cyg,21.298632,34.896898,4.410,-0.103
Pi Cep,23.131623,75.387496,4.410,0.802
Psi-2 Aqr,23.298393,-9.182513,4.410,-0.144
Gam Scl,23.313733,-32.532027,4.410,1.109
Nu Ori,6.126201,14.768472,4.420,-0.164
Nu-3 CMa,6.631506,-18.237478,4.420,1.137
HD56096,7.225637,-44.639739,4.420,1.331
27 CMa,7.237559,-26.352507,4.420,-0.170
HD69142,8.234143,-40.347890,4.420,1.170
60 Leo,11.038827,20.179842,4.420,0.053
58 Hya,14.838147,-27.960371,4.420,1.366
Lam Ser,15.774060,7.353073,4.420,0.604
68 Oph,18.029222,1.305076,4.420,0.046
Bet Lac,22.392675,52.229046,4.420,1.015
Alkarab,23.422993,23.404101,4.420,0.617
Pi Eri,3.769037,-12.101589,4.430,1.604
Keid,4.254537,-7.652871,4.430,0.820
7 Cam,4.954780,53.752101,4.430,-0.017
Aladfar,19.229302,39.145968,4.430,-0.150
62 Sgr,20.044299,-27.709845,4.430,1.640
39 Cyg,20.397671,32.190172,4.430,1.331
Del Del,20.724315,15.074581,4.430,0.302
3 Aqr,20.795621,-5.027701,4.430,1.639
7 Cet,0.244005,-18.932866,4.440,1.640
Del Psc,0.811373,7.585079,4.440,1.500
Eps Ret,4.274738,-59.302156,4.440,1.078
Alp Cae,4.676039,-41.863752,4.440,0.342
2 Lyn,6.327052,59.010964,4.440,0.032
HD60532,7.567551,-22.296067,4.440,0.521
HD68553,8.189304,-39.618545,4.440,1.590
HD70060,8.309258,-36.659288,4.440,0.222
Sig Lup,14.543629,-50.457157,4.440,-0.177
Anser,19.478427,24.664905,4.440,1.502
Nu Psc,1.690526,5.487613,4.450,1.347
Bet For,2.818169,-32.405898,4.450,0.981
Iot Lep,5.204973,-11.869219,4.450,-0.099
Xi Ori,6.198999,14.208765,4.450,-0.180
Minchir,8.645955,3.341435,4.450,1.216
HD77258,9.001505,-41.253605,4.450,0.646
HD91942,10.593140,-57.557636,4.450,1.604
Del-2 Cha,10.763087,-80.540188,4.450,-0.188
Phi Leo,11.277695,-3.651601,4.450,0.210
Ome Oph,16.535611,-21.466390,4.450,0.130
Tau Dra,19.259229,73.355468,4.450,1.257
Mu Aql,19.568153,7.378941,4.450,1.176
Iot Cas,2.484437,67.402474,4.460,0.153
32 Eri,3.904862,-2.954730,4.460,0.672
Rho Ori,5.221523,2.861265,4.460,1.166
15 UMa,9.147863,51.604648,4.460,0.288
Bet Crt,11.194302,-22.825847,4.460,0.025
HD105382,12.134788,-50.661278,4.460,-0.163
Eps Nor,16.453067,-47.554786,4.460,-0.070
Gam PsA,22.875427,-32.875504,4.460,-0.037
Tau-1 Eri,2.751715,-18.572563,4.470,0.481
HD20644,3.338989,29.048458,4.470,1.555
Pi-6 Ori,4.975806,1.714016,4.470,1.369
Lam CMa,6.469503,-32.580070,4.470,-0.169
13 Mon,6.548396,7.332965,4.470,0.023
HD65818,7.970678,-49.244912,4.470,-0.180
HD78791,9.085785,-72.602705,4.470,0.607
Kap Leo,9.410906,26.182324,4.470,1.222
26 UMa,9.580405,52.051477,4.470,0.027
HD102964,11.852419,-45.173470,4.470,1.283
Sig Boo,14.578000,29.745130,4.470,0.364
16 Lib,14.953055,-4.346462,4.470,0.318
Del Equ,21.241337,10.006981,4.470,0.529
Lam Gru,22.101914,-39.543353,4.470,1.349
Omi Cas,0.745420,48.284364,4.480,-0.069
Gam Ret,4.014946,-62.159284,4.480,1.500
71 Tau,4.439094,15.618265,4.480,0.262
18 Mon,6.797680,2.412159,4.480,1.099
Alp Sex,10.132300,-0.371637,4.480,-0.032
Gam Cir,15.389625,-59.320787,4.480,0.169
Psi Oph,16.401718,-20.037327,4.480,0.996
Fumalsamakah,23.064615,3.820045,4.480,-0.115
86 Aqr,23.111345,-23.743115,4.480,0.892
48 Cas,2.032644,70.907020,4.490,0.164
Ups-1 Eri,4.558490,-29.766492,4.490,0.972
30 Gem,6.733137,13.228017,4.490,1.167
HD55892,7.209350,-46.759305,4.490,0.324
HD64503,7.877402,-38.862812,4.490,-0.188
21 LMi,10.123821,35.244693,4.490,0.190
Pi-1 Boo,14.678768,16.418324,4.490,-0.002
The Cyg,19.607372,50.221103,4.490,0.395
24 Cap,21.118797,-25.005853,4.490,1.604
Mu-1 Cyg,21.735710,28.742632,4.490,0.512
Lam Psc,23.700779,1.780041,4.490,0.200
Ome-2 Aqr,23.712039,-14.544905,4.490,-0.032
Eps Tuc,23.998594,-65.577132,4.490,-0.075
Ome Ori,5.653096,4.121467,4.500,-0.098
Gam Pic,5.830451,-56.166663,4.500,1.075
HD75311,8.778487,-56.769776,4.500,-0.169
HD89890,10.348557,-56.043220,4.500,-0.102
93 Leo,11.799762,20.218931,4.500,0.547
Tau Boo,13.787710,17.456906,4.500,0.508
23 Vul,20.262816,27.814242,4.500,1.258
Nu Aqr,21.159902,-11.371693,4.500,0.926
36 Cap,21.478721,-21.807180,4.500,0.889
Mu PsA,22.139722,-32.988468,4.500,0.054
HD211073,22.231312,39.714927,4.500,1.385
11 Lac,22.675233,44.276305,4.500,1.318
Sig And,0.305463,36.785224,4.510,0.054
Tau Psc,1.194342,30.089638,4.510,1.092
Tau Aur,5.819567,39.181071,4.510,0.949
Eps Ant,9.487423,-35.951335,4.510,1.408
HD83944,9.655839,-61.328060,4.510,-0.070
Iot Ser,15.692516,19.670401,4.510,0.062
Rho Dra,20.046960,67.873565,4.510,1.313
Eta Ind,20.733966,-51.920971,4.510,0.278
Eps Cap,21.618008,-19.466011,4.510,-0.180
Del Tuc,22.455531,-64.966354,4.510,-0.029
Rho Cas,23.906398,57.499382,4.510,1.190
Lilii Borea,2.798480,29.247118,4.520,1.112
HD116087,13.377211,-60.988393,4.520,-0.141
HD116243,13.400128,-64.535668,4.520,0.822
Khambalia,14.318498,-13.371095,4.520,0.128
Psi Boo,15.074098,26.947649,4.520,1.240
Eps Tel,18.187157,-45.954418,4.520,1.009
Ups Sgr,19.362117,-15.955018,4.520,0.079
HD198084,20.755878,57.579725,4.520,0.535
2 Peg,21.499137,23.638838,4.520,1.618
6 Lac,22.508128,43.123376,4.520,-0.086
Bet-2 Tuc,0.525946,-62.965561,4.530,0.147
Nu And,0.830234,41.078911,4.530,-0.136
HD40657,6.000930,-3.074253,4.530,1.202
HD61330,7.622809,-34.968530,4.530,-0.081
Kap-2 Boo,14.224718,51.789965,4.530,0.233
HD157950,17.443856,-5.086596,4.530,0.385
3 Sgr,17.792674,-27.830788,4.530,0.600
Lam Cyg,20.790149,36.490717,4.530,-0.083
7 And,23.209160,49.406207,4.530,0.302
16 Aur,5.302935,33.371613,4.540,1.252
Xi-2 CMa,6.584274,-22.964793,4.540,-0.035
Tau-2 Hya,9.533036,-1.184664,4.540,0.109
10 LMi,9.570384,36.397558,4.540,0.914
24 UMa,9.574703,69.830343,4.540,0.781
Xi Boo,14.856493,19.100460,4.540,0.720
Iot-1 Lib,15.203692,-19.791710,4.540,-0.071
Phi-2 Lup,15.385931,-36.858489,4.540,-0.155
59 Sgr,19.949120,-27.169899,4.540,1.462
55 Peg,23.116739,9.409492,4.540,1.559
70 Peg,23.485915,12.760554,4.540,0.939
2 Cet,0.062330,-17.335988,4.550,-0.047
HD21389,3.498540,58.878750,4.550,0.489
Gam-1 Cae,5.073440,-35.482978,4.550,1.177
HD49878,7.001081,76.977408,4.550,1.365
6 CMi,7.496606,12.006564,4.550,1.276
Phi UMa,9.868433,54.064332,4.550,0.038
HD138769,15.598126,-44.958389,4.550,-0.175
Omi Sco,16.343939,-24.169320,4.550,0.758
HD165634,18.134716,-28.457093,4.550,0.938
11 Cep,21.698652,71.311417,4.550,1.108
2 Lac,22.350428,46.536569,4.550,-0.100
4 Lac,22.408609,49.476392,4.550,0.092
17 Per,2.858566,35.059741,4.560,1.554
Del Ret,3.979095,-61.400185,4.560,1.590
136 Tau,5.888790,27.612262,4.560,-0.008
HD77912,9.108825,38.452215,4.560,1.037
72 Leo,11.253397,23.095502,4.560,1.657
Tau-1 Lup,14.435619,-45.221424,4.560,-0.147
Sig Ara,17.594332,-46.505684,4.560,-0.020
31 Vul,20.868801,27.096979,4.560,0.835
63 Cyg,21.110026,47.648403,4.560,1.569
HD22663,3.618244,-40.274545,4.570,1.023
Cujam,16.423598,14.033270,4.570,0.002
Rho Oph,16.426422,-23.447178,4.570,0.227
Dziban,17.698978,72.148843,4.570,0.434
113 Her,18.912468,22.645076,4.570,0.782
Del CrA,19.139156,-40.496703,4.570,1.070
13 Vul,19.891026,24.079614,4.570,-0.047
42 Ori,5.589768,-4.838358,4.580,-0.183
HD85622,9.861298,-46.547620,4.580,1.172
HD93070,10.725639,-60.566619,4.580,1.700
HD114529,13.204892,-59.920579,4.580,-0.073
10 Dra,13.857205,64.723272,4.580,1.572
13 Sco,16.205057,-27.926372,4.580,-0.172
